State/Territory,Top Width,Right Side Width,Averages,Square Size in Pixel
Alabama,43,41,42,553x550
Arkansas,36,28,32,552x550
California,96,93,94.5,553x553
Connecticut,33,32,32.5,556x554
Delaware,11,7,9,550x554
Florida ,60,61,60.5,550x557
Georgia,9,7,8,554x557
Illinois,60,56,58,556x558
Indiana,24,28,26,556x558
Iowa,81,80,80.5,556x560
Kansas,100,100,100,546x555
Kentucky,12,11,11.5,555x558
Losisiana,104,98,101,551x556
Maine,35,35,35,554x556
Maryland,26,24,25,556x558
Massachusetts,39,37,38,557x556
Michigan,78,77,77.5,550x554
Minnesota,115,125,120,553x553
Mississippi,24,29,26.5,554x555
Missouri,63,70,66.5,552x555
Nebraska,109,116,112.5,558x558
Nevada,143,147,145,553x558
New Hampshire,32,27,29.5,549x557
New Jersey,23,23,23,556x555
New York,50,51,50.5,555x553
North Carolina,11,12,11.5,556x554
Ohio,0,0,0,559x550
Oregon,60,61,60.5,554x550
Pennsylvania,13,16,14.5,545x555
Rhode Island,40,46,43,554x552
South Carolina,9,7,8,554x554
Tennessee,9,8,8.5,556x555
Texas,113,121,117,556x550
Vermont,0,0,0,554x554
Virgina,20,24,22,542x550
West Virginia,8,9,8.5,552x551
Wisconsin,68,72,70,551x551
District of Columbia,58,60,59,551x549
NW Territories,132,141,136.5,554x551
SW Territories,0,0,0,558x553