"Area.name","Total.Population","State","Territory","total","above10","Total.Above10.Est","above10.Female","above10.Male","Total.Above10.Female","Total.Above10.Male","Employed.Female","Employed.Male","Occupation","Sex","Number"
"West Virginia",442014,"West Virginia",NA,4703,3175,298404.093132043,1619,1556,152162.591112056,146241.502019987,46434,150988,"Manufacturing","Male",16827
"Wisconsin",1054670,"Wisconsin",NA,10444,7126,719607.278820375,3424,3702,345766.955189583,373840.323630793,150942,402468,"Manufacturing","Male",49733
"Wyoming",9118,"Wyoming Territory",TRUE,66,63,8703.54545454545,5,58,690.757575757576,8012.78787878788,485,6524,"Manufacturing","Male",1637
"Alabama",996992,"Alabama",NA,15133,10260,675949.112535518,5272,4988,347329.797396418,328619.3151391,128157,314240,"Manufacturing","Female",1992
"Arizona",9658,"Arizona Territory",TRUE,92,69,7243.5,18,51,1889.60869565217,5353.89130434783,366,5813,"Manufacturing","Female",156
"Arkansas",484471,"Arkansas",NA,6219,4186,326096.736774401,2061,2125,160555.512301013,165541.224473388,45300,153221,"Manufacturing","Female",279
"California",560247,"California",NA,5531,4183,423705.152956066,1405,2778,142315.500813596,281389.65214247,58041,271610,"Manufacturing","Female",2408
"Colorado",39864,"Colorado Territory",TRUE,380,284,29793.0947368421,104,180,10910.1473684211,18882.9473684211,1664,18535,"Manufacturing","Female",54
"Connecticut",537454,"Connecticut",NA,5406,4156,413181.432482427,2146,2010,213351.143914169,199830.288568257,82317,210736,"Manufacturing","Female",16068
"Dakota",14181,"Dakota Territory",TRUE,151,115,10800.0993377483,40,75,3756.55629139073,7043.54304635762,682,6333,"Manufacturing","Female",18
"Delaware",125015,"Delaware",NA,1700,1217,89496.0323529412,606,611,44564.1705882353,44931.8617647059,15447,44831,"Manufacturing","Female",1077
"District of Columbia",131700,"District of Columbia",NA,1956,1445,97293.7116564417,766,679,51575.7668711657,45717.9447852761,23778,45204,"Manufacturing","Female",1634
"Florida",187748,"Florida",NA,3042,2008,123930.96120973,989,1019,61039.701512163,62891.2596975674,16168,57313,"Manufacturing","Female",266
"Georgia",1184109,"Georgia",NA,18027,12032,790325.594275254,6301,5731,413883.109169579,376442.485105675,154292,367879,"Manufacturing","Female",4778
"Idaho",14999,"Idaho Territory",TRUE,157,146,13948.1146496815,27,119,2579.44585987261,11368.6687898089,347,10998,"Manufacturing","Female",11
"Illinois",2539891,"Illinois",NA,26547,18135,1735070.75319245,8682,9453,830652.56571364,904418.187478811,326251,963985,"Manufacturing","Female",9109
"Indiana",1680637,"Indiana",NA,17455,11929,1148571.68564881,5894,6035,567497.821712976,581073.863935835,218356,636242,"Manufacturing","Female",3984
"Iowa",1194020,"Iowa",NA,11693,7929,809662.582741811,3756,4173,383540.504575387,426122.078166424,168862,481765,"Manufacturing","Female",2758
"Kansas",364399,"Kansas",NA,3964,2723,250317.47653885,1143,1580,105072.668264379,145244.80827447,36848,149922,"Manufacturing","Female",723
"Kentucky",1321011,"Kentucky",NA,16884,11483,898434.57196162,5740,5743,449099.925373134,449334.646588486,136753,459045,"Manufacturing","Female",4258
"Louisiana",726915,"Louisiana",NA,11564,7973,501184.131355932,4013,3960,252257.860169492,248926.271186441,83534,224177,"Manufacturing","Female",2548
"Maine",626915,"Maine",NA,5919,4599,487106.282311201,2313,2286,244983.003041054,242123.279270147,102832,260523,"Manufacturing","Female",12742
"Maryland",780894,"Maryland",NA,10201,7247,554763.142633075,3718,3529,284615.61533183,270147.527301245,94811,269167,"Manufacturing","Female",6677
"Massachusetts",1457351,"Massachusetts",NA,14782,11464,1130230.81206873,6015,5449,593016.253889866,537214.558178866,270963,596263,"Manufacturing","Female",70872
"Michigan",1184059,"Michigan",NA,11756,8369,842921.892735624,3994,4375,402273.872575706,440648.020159918,183915,484093,"Manufacturing","Female",5203
"Minnesota",439706,"Minnesota",NA,4652,3074,290553.7927773,1406,1668,132894.805674979,157658.987102322,57428,171990,"Manufacturing","Female",933
"Mississippi",827922,"Mississippi",NA,13107,8645,546073.524834058,4369,4276,275974,270099.524834058,105735,252256,"Manufacturing","Female",863
"Missouri",1721295,"Missouri",NA,19084,12820,1156309.04946552,6158,6662,555425.204883672,600883.844581849,192702,637194,"Manufacturing","Female",5262
"Montana",20595,"Montana Territory",TRUE,168,155,19001.3392857143,20,135,2451.78571428571,16549.5535714286,591,14376,"Manufacturing","Female",10
"Nebraska",122993,"Nebraska",NA,1153,796,84911.039028621,331,465,35308.4848222029,49602.554206418,10375,51410,"Manufacturing","Female",193
"Nevada",42491,"Nevada",NA,438,367,35603.1894977169,69,298,6693.78767123288,28909.401826484,1878,27925,"Manufacturing","Female",157
"New Hampshire",318300,"New Hampshire",NA,3284,2583,250355.937880633,1340,1243,129878.806333739,120477.131546894,55581,130411,"Manufacturing","Female",14029
"New Jersey",906096,"New Jersey",NA,9493,6904,658978.909090909,3531,3373,337029.914252607,321948.994838302,121392,332729,"Manufacturing","Female",14157
"New Mexico",91874,"New Mexico Territory",TRUE,845,558,60669.4579881657,271,287,29464.9159763314,31204.5420118343,3863,27378,"Manufacturing","Female",851
"New York",4382759,"New York",NA,43850,32832,3281522.0863854,16901,15931,1689236.25676169,1592285.82962372,670218,1667545,"Manufacturing","Female",79609
"North Carolina",1071361,"North Carolina",NA,15275,10391,728806.032798691,5419,4972,380078.904026187,348727.128772504,90299,326287,"Manufacturing","Female",2330
"Ohio",2665260,"Ohio",NA,27034,19040,1877138.0631797,9594,9446,945864.631205149,931273.431974551,394680,1091833,"Manufacturing","Female",17616
"Oregon",90923,"Oregon",NA,942,611,58974.4723991507,229,382,22103.3619957537,36871.110403397,9166,39562,"Manufacturing","Female",91
"Pennsylvania",3521951,"Pennsylvania",NA,35533,25348,2512436.71933133,12787,12561,1267418.66538148,1245018.05394985,485637,1259906,"Manufacturing","Female",38191
"Rhode Island",217353,"Rhode Island",NA,2130,1683,171739.483098592,885,798,90308.6408450704,81430.8422535211,38673,84811,"Manufacturing","Female",14142
"South Carolina",705606,"South Carolina",NA,11584,7804,475358.185773481,4102,3702,249861.51691989,225496.668853591,101441,203425,"Manufacturing","Female",2923
"Tennessee",1258520,"Tennessee",NA,16834,11338,847635.722941666,5876,5462,439293.306403707,408342.416537959,102645,386047,"Manufacturing","Female",1923
"Texas",818579,"Texas",NA,11123,7325,539071.399352693,3543,3782,260741.292546975,278330.106805718,60153,242172,"Manufacturing","Female",816
"Utah",86786,"Utah Territory",TRUE,874,563,55904.4828375286,259,304,25718.0480549199,30186.4347826087,8078,28064,"Manufacturing","Female",114
"Vermont",330551,"Vermont",NA,3293,2538,254764.177953234,1265,1273,126980.569389614,127783.60856362,46886,132076,"Manufacturing","Female",2023
"Virginia",1225163,"Virginia",NA,18678,12885,845177.495181497,6696,6189,439216.803083842,405960.692097655,109153,374352,"Manufacturing","Female",5430
"Washington",23955,"Washington Territory",TRUE,231,165,17110.7142857143,57,108,5910.97402597403,11199.7402597403,1890,11402,"Manufacturing","Female",15
"West Virginia",442014,"West Virginia",NA,4703,3175,298404.093132043,1619,1556,152162.591112056,146241.502019987,46434,150988,"Manufacturing","Female",846
"Wisconsin",1054670,"Wisconsin",NA,10444,7126,719607.278820375,3424,3702,345766.955189583,373840.323630793,150942,402468,"Manufacturing","Female",3784
"Wyoming",9118,"Wyoming Territory",TRUE,66,63,8703.54545454545,5,58,690.757575757576,8012.78787878788,485,6524,"Manufacturing","Female",27
"Alabama",996992,"Alabama",NA,15133,10260,675949.112535518,5272,4988,347329.797396418,328619.3151391,128157,314240,"Trade","Male",14345
"Arizona",9658,"Arizona Territory",TRUE,92,69,7243.5,18,51,1889.60869565217,5353.89130434783,366,5813,"Trade","Male",588
"Arkansas",484471,"Arkansas",NA,6219,4186,326096.736774401,2061,2125,160555.512301013,165541.224473388,45300,153221,"Trade","Male",5474
"California",560247,"California",NA,5531,4183,423705.152956066,1405,2778,142315.500813596,281389.65214247,58041,271610,"Trade","Male",33038
"Colorado",39864,"Colorado Territory",TRUE,380,284,29793.0947368421,104,180,10910.1473684211,18882.9473684211,1664,18535,"Trade","Male",2813
"Connecticut",537454,"Connecticut",NA,5406,4156,413181.432482427,2146,2010,213351.143914169,199830.288568257,82317,210736,"Trade","Male",24511
"Dakota",14181,"Dakota Territory",TRUE,151,115,10800.0993377483,40,75,3756.55629139073,7043.54304635762,682,6333,"Trade","Male",204
"Delaware",125015,"Delaware",NA,1700,1217,89496.0323529412,606,611,44564.1705882353,44931.8617647059,15447,44831,"Trade","Male",3347
"District of Columbia",131700,"District of Columbia",NA,1956,1445,97293.7116564417,766,679,51575.7668711657,45717.9447852761,23778,45204,"Trade","Male",5852
"Florida",187748,"Florida",NA,3042,2008,123930.96120973,989,1019,61039.701512163,62891.2596975674,16168,57313,"Trade","Male",3016
"Georgia",1184109,"Georgia",NA,18027,12032,790325.594275254,6301,5731,413883.109169579,376442.485105675,154292,367879,"Trade","Male",17336
"Idaho",14999,"Idaho Territory",TRUE,157,146,13948.1146496815,27,119,2579.44585987261,11368.6687898089,347,10998,"Trade","Male",720
"Illinois",2539891,"Illinois",NA,26547,18135,1735070.75319245,8682,9453,830652.56571364,904418.187478811,326251,963985,"Trade","Male",79876
"Indiana",1680637,"Indiana",NA,17455,11929,1148571.68564881,5894,6035,567497.821712976,581073.863935835,218356,636242,"Trade","Male",36371
"Iowa",1194020,"Iowa",NA,11693,7929,809662.582741811,3756,4173,383540.504575387,426122.078166424,168862,481765,"Trade","Male",28151
"Kansas",364399,"Kansas",NA,3964,2723,250317.47653885,1143,1580,105072.668264379,145244.80827447,36848,149922,"Trade","Male",11736
"Kentucky",1321011,"Kentucky",NA,16884,11483,898434.57196162,5740,5743,449099.925373134,449334.646588486,136753,459045,"Trade","Male",24961
"Louisiana",726915,"Louisiana",NA,11564,7973,501184.131355932,4013,3960,252257.860169492,248926.271186441,83534,224177,"Trade","Male",23496
"Maine",626915,"Maine",NA,5919,4599,487106.282311201,2313,2286,244983.003041054,242123.279270147,102832,260523,"Trade","Male",27880
"Maryland",780894,"Maryland",NA,10201,7247,554763.142633075,3718,3529,284615.61533183,270147.527301245,94811,269167,"Trade","Male",34567
"Massachusetts",1457351,"Massachusetts",NA,14782,11464,1130230.81206873,6015,5449,593016.253889866,537214.558178866,270963,596263,"Trade","Male",81077
"Michigan",1184059,"Michigan",NA,11756,8369,842921.892735624,3994,4375,402273.872575706,440648.020159918,183915,484093,"Trade","Male",29493
"Minnesota",439706,"Minnesota",NA,4652,3074,290553.7927773,1406,1668,132894.805674979,157658.987102322,57428,171990,"Trade","Male",10559
"Mississippi",827922,"Mississippi",NA,13107,8645,546073.524834058,4369,4276,275974,270099.524834058,105735,252256,"Trade","Male",9076
"Missouri",1721295,"Missouri",NA,19084,12820,1156309.04946552,6158,6662,555425.204883672,600883.844581849,192702,637194,"Trade","Male",54583
"Montana",20595,"Montana Territory",TRUE,168,155,19001.3392857143,20,135,2451.78571428571,16549.5535714286,591,14376,"Trade","Male",1232
"Nebraska",122993,"Nebraska",NA,1153,796,84911.039028621,331,465,35308.4848222029,49602.554206418,10375,51410,"Trade","Male",4623
"Nevada",42491,"Nevada",NA,438,367,35603.1894977169,69,298,6693.78767123288,28909.401826484,1878,27925,"Trade","Male",3621
"New Hampshire",318300,"New Hampshire",NA,3284,2583,250355.937880633,1340,1243,129878.806333739,120477.131546894,55581,130411,"Trade","Male",8126
"New Jersey",906096,"New Jersey",NA,9493,6904,658978.909090909,3531,3373,337029.914252607,321948.994838302,121392,332729,"Trade","Male",45242
"New Mexico",91874,"New Mexico Territory",TRUE,845,558,60669.4579881657,271,287,29464.9159763314,31204.5420118343,3863,27378,"Trade","Male",863
"New York",4382759,"New York",NA,43850,32832,3281522.0863854,16901,15931,1689236.25676169,1592285.82962372,670218,1667545,"Trade","Male",229789
"North Carolina",1071361,"North Carolina",NA,15275,10391,728806.032798691,5419,4972,380078.904026187,348727.128772504,90299,326287,"Trade","Male",10094
"Ohio",2665260,"Ohio",NA,27034,19040,1877138.0631797,9594,9446,945864.631205149,931273.431974551,394680,1091833,"Trade","Male",77690
"Oregon",90923,"Oregon",NA,942,611,58974.4723991507,229,382,22103.3619957537,36871.110403397,9166,39562,"Trade","Male",2611
"Pennsylvania",3521951,"Pennsylvania",NA,35533,25348,2512436.71933133,12787,12561,1267418.66538148,1245018.05394985,485637,1259906,"Trade","Male",116714
"Rhode Island",217353,"Rhode Island",NA,2130,1683,171739.483098592,885,798,90308.6408450704,81430.8422535211,38673,84811,"Trade","Male",9878
"South Carolina",705606,"South Carolina",NA,11584,7804,475358.185773481,4102,3702,249861.51691989,225496.668853591,101441,203425,"Trade","Male",8250
"Tennessee",1258520,"Tennessee",NA,16834,11338,847635.722941666,5876,5462,439293.306403707,408342.416537959,102645,386047,"Trade","Male",17417
"Texas",818579,"Texas",NA,11123,7325,539071.399352693,3543,3782,260741.292546975,278330.106805718,60153,242172,"Trade","Male",13576
"Utah",86786,"Utah Territory",TRUE,874,563,55904.4828375286,259,304,25718.0480549199,30186.4347826087,8078,28064,"Trade","Male",1648
"Vermont",330551,"Vermont",NA,3293,2538,254764.177953234,1265,1273,126980.569389614,127783.60856362,46886,132076,"Trade","Male",7101
"Virginia",1225163,"Virginia",NA,18678,12885,845177.495181497,6696,6189,439216.803083842,405960.692097655,109153,374352,"Trade","Male",19992
"Washington",23955,"Washington Territory",TRUE,231,165,17110.7142857143,57,108,5910.97402597403,11199.7402597403,1890,11402,"Trade","Male",1127
"West Virginia",442014,"West Virginia",NA,4703,3175,298404.093132043,1619,1556,152162.591112056,146241.502019987,46434,150988,"Trade","Male",6888
"Wisconsin",1054670,"Wisconsin",NA,10444,7126,719607.278820375,3424,3702,345766.955189583,373840.323630793,150942,402468,"Trade","Male",21342
"Wyoming",9118,"Wyoming Territory",TRUE,66,63,8703.54545454545,5,58,690.757575757576,8012.78787878788,485,6524,"Trade","Male",1646
"Alabama",996992,"Alabama",NA,15133,10260,675949.112535518,5272,4988,347329.797396418,328619.3151391,128157,314240,"Trade","Female",90
"Arizona",9658,"Arizona Territory",TRUE,92,69,7243.5,18,51,1889.60869565217,5353.89130434783,366,5813,"Trade","Female",3
"Arkansas",484471,"Arkansas",NA,6219,4186,326096.736774401,2061,2125,160555.512301013,165541.224473388,45300,153221,"Trade","Female",17
"California",560247,"California",NA,5531,4183,423705.152956066,1405,2778,142315.500813596,281389.65214247,58041,271610,"Trade","Female",127
"Colorado",39864,"Colorado Territory",TRUE,380,284,29793.0947368421,104,180,10910.1473684211,18882.9473684211,1664,18535,"Trade","Female",2
"Connecticut",537454,"Connecticut",NA,5406,4156,413181.432482427,2146,2010,213351.143914169,199830.288568257,82317,210736,"Trade","Female",209
"Dakota",14181,"Dakota Territory",TRUE,151,115,10800.0993377483,40,75,3756.55629139073,7043.54304635762,682,6333,"Trade","Female",0
"Delaware",125015,"Delaware",NA,1700,1217,89496.0323529412,606,611,44564.1705882353,44931.8617647059,15447,44831,"Trade","Female",90
"District of Columbia",131700,"District of Columbia",NA,1956,1445,97293.7116564417,766,679,51575.7668711657,45717.9447852761,23778,45204,"Trade","Female",274
"Florida",187748,"Florida",NA,3042,2008,123930.96120973,989,1019,61039.701512163,62891.2596975674,16168,57313,"Trade","Female",7
"Georgia",1184109,"Georgia",NA,18027,12032,790325.594275254,6301,5731,413883.109169579,376442.485105675,154292,367879,"Trade","Female",74
"Idaho",14999,"Idaho Territory",TRUE,157,146,13948.1146496815,27,119,2579.44585987261,11368.6687898089,347,10998,"Trade","Female",1
"Illinois",2539891,"Illinois",NA,26547,18135,1735070.75319245,8682,9453,830652.56571364,904418.187478811,326251,963985,"Trade","Female",546
"Indiana",1680637,"Indiana",NA,17455,11929,1148571.68564881,5894,6035,567497.821712976,581073.863935835,218356,636242,"Trade","Female",146
"Iowa",1194020,"Iowa",NA,11693,7929,809662.582741811,3756,4173,383540.504575387,426122.078166424,168862,481765,"Trade","Female",59
"Kansas",364399,"Kansas",NA,3964,2723,250317.47653885,1143,1580,105072.668264379,145244.80827447,36848,149922,"Trade","Female",26
"Kentucky",1321011,"Kentucky",NA,16884,11483,898434.57196162,5740,5743,449099.925373134,449334.646588486,136753,459045,"Trade","Female",331
"Louisiana",726915,"Louisiana",NA,11564,7973,501184.131355932,4013,3960,252257.860169492,248926.271186441,83534,224177,"Trade","Female",335
"Maine",626915,"Maine",NA,5919,4599,487106.282311201,2313,2286,244983.003041054,242123.279270147,102832,260523,"Trade","Female",235
"Maryland",780894,"Maryland",NA,10201,7247,554763.142633075,3718,3529,284615.61533183,270147.527301245,94811,269167,"Trade","Female",975
"Massachusetts",1457351,"Massachusetts",NA,14782,11464,1130230.81206873,6015,5449,593016.253889866,537214.558178866,270963,596263,"Trade","Female",2001
"Michigan",1184059,"Michigan",NA,11756,8369,842921.892735624,3994,4375,402273.872575706,440648.020159918,183915,484093,"Trade","Female",95
"Minnesota",439706,"Minnesota",NA,4652,3074,290553.7927773,1406,1668,132894.805674979,157658.987102322,57428,171990,"Trade","Female",23
"Mississippi",827922,"Mississippi",NA,13107,8645,546073.524834058,4369,4276,275974,270099.524834058,105735,252256,"Trade","Female",72
"Missouri",1721295,"Missouri",NA,19084,12820,1156309.04946552,6158,6662,555425.204883672,600883.844581849,192702,637194,"Trade","Female",302
"Montana",20595,"Montana Territory",TRUE,168,155,19001.3392857143,20,135,2451.78571428571,16549.5535714286,591,14376,"Trade","Female",1
"Nebraska",122993,"Nebraska",NA,1153,796,84911.039028621,331,465,35308.4848222029,49602.554206418,10375,51410,"Trade","Female",5
"Nevada",42491,"Nevada",NA,438,367,35603.1894977169,69,298,6693.78767123288,28909.401826484,1878,27925,"Trade","Female",0
"New Hampshire",318300,"New Hampshire",NA,3284,2583,250355.937880633,1340,1243,129878.806333739,120477.131546894,55581,130411,"Trade","Female",388
"New Jersey",906096,"New Jersey",NA,9493,6904,658978.909090909,3531,3373,337029.914252607,321948.994838302,121392,332729,"Trade","Female",964
"New Mexico",91874,"New Mexico Territory",TRUE,845,558,60669.4579881657,271,287,29464.9159763314,31204.5420118343,3863,27378,"Trade","Female",0
"New York",4382759,"New York",NA,43850,32832,3281522.0863854,16901,15931,1689236.25676169,1592285.82962372,670218,1667545,"Trade","Female",4792
"North Carolina",1071361,"North Carolina",NA,15275,10391,728806.032798691,5419,4972,380078.904026187,348727.128772504,90299,326287,"Trade","Female",85
"Ohio",2665260,"Ohio",NA,27034,19040,1877138.0631797,9594,9446,945864.631205149,931273.431974551,394680,1091833,"Trade","Female",857
"Oregon",90923,"Oregon",NA,942,611,58974.4723991507,229,382,22103.3619957537,36871.110403397,9166,39562,"Trade","Female",8
"Pennsylvania",3521951,"Pennsylvania",NA,35533,25348,2512436.71933133,12787,12561,1267418.66538148,1245018.05394985,485637,1259906,"Trade","Female",4539
"Rhode Island",217353,"Rhode Island",NA,2130,1683,171739.483098592,885,798,90308.6408450704,81430.8422535211,38673,84811,"Trade","Female",230
"South Carolina",705606,"South Carolina",NA,11584,7804,475358.185773481,4102,3702,249861.51691989,225496.668853591,101441,203425,"Trade","Female",220
"Tennessee",1258520,"Tennessee",NA,16834,11338,847635.722941666,5876,5462,439293.306403707,408342.416537959,102645,386047,"Trade","Female",93
"Texas",818579,"Texas",NA,11123,7325,539071.399352693,3543,3782,260741.292546975,278330.106805718,60153,242172,"Trade","Female",36
"Utah",86786,"Utah Territory",TRUE,874,563,55904.4828375286,259,304,25718.0480549199,30186.4347826087,8078,28064,"Trade","Female",17
"Vermont",330551,"Vermont",NA,3293,2538,254764.177953234,1265,1273,126980.569389614,127783.60856362,46886,132076,"Trade","Female",31
"Virginia",1225163,"Virginia",NA,18678,12885,845177.495181497,6696,6189,439216.803083842,405960.692097655,109153,374352,"Trade","Female",189
"Washington",23955,"Washington Territory",TRUE,231,165,17110.7142857143,57,108,5910.97402597403,11199.7402597403,1890,11402,"Trade","Female",2
"West Virginia",442014,"West Virginia",NA,4703,3175,298404.093132043,1619,1556,152162.591112056,146241.502019987,46434,150988,"Trade","Female",9
"Wisconsin",1054670,"Wisconsin",NA,10444,7126,719607.278820375,3424,3702,345766.955189583,373840.323630793,150942,402468,"Trade","Female",192
"Wyoming",9118,"Wyoming Territory",TRUE,66,63,8703.54545454545,5,58,690.757575757576,8012.78787878788,485,6524,"Trade","Female",0
