"Area.name","Total.Population","State","Territory","total","above10","Total.Above10.Est","above10.Female","above10.Male","Total.Above10.Female","Total.Above10.Male","Employed.Female","Employed.Male","Occupation","Sex","Number"
"Alabama",996992,"Alabama",NA,15133,10260,675949.112535518,5272,4988,347329.797396418,328619.3151391,128157,314240,"Service","Male",19449
"Arizona",9658,"Arizona Territory",TRUE,92,69,7243.5,18,51,1889.60869565217,5353.89130434783,366,5813,"Service","Male",2979
"Arkansas",484471,"Arkansas",NA,6219,4186,326096.736774401,2061,2125,160555.512301013,165541.224473388,45300,153221,"Service","Male",8018
"California",560247,"California",NA,5531,4183,423705.152956066,1405,2778,142315.500813596,281389.65214247,58041,271610,"Service","Male",65150
"Colorado",39864,"Colorado Territory",TRUE,380,284,29793.0947368421,104,180,10910.1473684211,18882.9473684211,1664,18535,"Service","Male",3245
"Connecticut",537454,"Connecticut",NA,5406,4156,413181.432482427,2146,2010,213351.143914169,199830.288568257,82317,210736,"Service","Male",21150
"Dakota",14181,"Dakota Territory",TRUE,151,115,10800.0993377483,40,75,3756.55629139073,7043.54304635762,682,6333,"Service","Male",2562
"Delaware",125015,"Delaware",NA,1700,1217,89496.0323529412,606,611,44564.1705882353,44931.8617647059,15447,44831,"Service","Male",6615
"District of Columbia",131700,"District of Columbia",NA,1956,1445,97293.7116564417,766,679,51575.7668711657,45717.9447852761,23778,45204,"Service","Male",17927
"Florida",187748,"Florida",NA,3042,2008,123930.96120973,989,1019,61039.701512163,62891.2596975674,16168,57313,"Service","Male",6892
"Georgia",1184109,"Georgia",NA,18027,12032,790325.594275254,6301,5731,413883.109169579,376442.485105675,154292,367879,"Service","Male",27435
"Idaho",14999,"Idaho Territory",TRUE,157,146,13948.1146496815,27,119,2579.44585987261,11368.6687898089,347,10998,"Service","Male",1310
"Illinois",2539891,"Illinois",NA,26547,18135,1735070.75319245,8682,9453,830652.56571364,904418.187478811,326251,963985,"Service","Male",99337
"Indiana",1680637,"Indiana",NA,17455,11929,1148571.68564881,5894,6035,567497.821712976,581073.863935835,218356,636242,"Service","Male",53466
"Iowa",1194020,"Iowa",NA,11693,7929,809662.582741811,3756,4173,383540.504575387,426122.078166424,168862,481765,"Service","Male",38531
"Kansas",364399,"Kansas",NA,3964,2723,250317.47653885,1143,1580,105072.668264379,145244.80827447,36848,149922,"Service","Male",15286
"Kentucky",1321011,"Kentucky",NA,16884,11483,898434.57196162,5740,5743,449099.925373134,449334.646588486,136753,459045,"Service","Male",41974
"Louisiana",726915,"Louisiana",NA,11564,7973,501184.131355932,4013,3960,252257.860169492,248926.271186441,83534,224177,"Service","Male",36883
"Maine",626915,"Maine",NA,5919,4599,487106.282311201,2313,2286,244983.003041054,242123.279270147,102832,260523,"Service","Male",20683
"Maryland",780894,"Maryland",NA,10201,7247,554763.142633075,3718,3529,284615.61533183,270147.527301245,94811,269167,"Service","Male",43278
"Massachusetts",1457351,"Massachusetts",NA,14782,11464,1130230.81206873,6015,5449,593016.253889866,537214.558178866,270963,596263,"Service","Male",75917
"Michigan",1184059,"Michigan",NA,11756,8369,842921.892735624,3994,4375,402273.872575706,440648.020159918,183915,484093,"Service","Male",52754
"Minnesota",439706,"Minnesota",NA,4652,3074,290553.7927773,1406,1668,132894.805674979,157658.987102322,57428,171990,"Service","Male",18920
"Mississippi",827922,"Mississippi",NA,13107,8645,546073.524834058,4369,4276,275974,270099.524834058,105735,252256,"Service","Male",20430
"Missouri",1721295,"Missouri",NA,19084,12820,1156309.04946552,6158,6662,555425.204883672,600883.844581849,192702,637194,"Service","Male",75079
"Montana",20595,"Montana Territory",TRUE,168,155,19001.3392857143,20,135,2451.78571428571,16549.5535714286,591,14376,"Service","Male",2515
"Nebraska",122993,"Nebraska",NA,1153,796,84911.039028621,331,465,35308.4848222029,49602.554206418,10375,51410,"Service","Male",8667
"Nevada",42491,"Nevada",NA,438,367,35603.1894977169,69,298,6693.78767123288,28909.401826484,1878,27925,"Service","Male",7152
"New Hampshire",318300,"New Hampshire",NA,3284,2583,250355.937880633,1340,1243,129878.806333739,120477.131546894,55581,130411,"Service","Male",8821
"New Jersey",906096,"New Jersey",NA,9493,6904,658978.909090909,3531,3373,337029.914252607,321948.994838302,121392,332729,"Service","Male",54275
"New Mexico",91874,"New Mexico Territory",TRUE,845,558,60669.4579881657,271,287,29464.9159763314,31204.5420118343,3863,27378,"Service","Male",5542
"New York",4382759,"New York",NA,43850,32832,3281522.0863854,16901,15931,1689236.25676169,1592285.82962372,670218,1667545,"Service","Male",233569
"North Carolina",1071361,"North Carolina",NA,15275,10391,728806.032798691,5419,4972,380078.904026187,348727.128772504,90299,326287,"Service","Male",23073
"Ohio",2665260,"Ohio",NA,27034,19040,1877138.0631797,9594,9446,945864.631205149,931273.431974551,394680,1091833,"Service","Male",104018
"Oregon",90923,"Oregon",NA,942,611,58974.4723991507,229,382,22103.3619957537,36871.110403397,9166,39562,"Service","Male",5522
"Pennsylvania",3521951,"Pennsylvania",NA,35533,25348,2512436.71933133,12787,12561,1267418.66538148,1245018.05394985,485637,1259906,"Service","Male",192674
"Rhode Island",217353,"Rhode Island",NA,2130,1683,171739.483098592,885,798,90308.6408450704,81430.8422535211,38673,84811,"Service","Male",12349
"South Carolina",705606,"South Carolina",NA,11584,7804,475358.185773481,4102,3702,249861.51691989,225496.668853591,101441,203425,"Service","Male",15526
"Tennessee",1258520,"Tennessee",NA,16834,11338,847635.722941666,5876,5462,439293.306403707,408342.416537959,102645,386047,"Service","Male",30077
"Texas",818579,"Texas",NA,11123,7325,539071.399352693,3543,3782,260741.292546975,278330.106805718,60153,242172,"Service","Male",27168
"Utah",86786,"Utah Territory",TRUE,874,563,55904.4828375286,259,304,25718.0480549199,30186.4347826087,8078,28064,"Service","Male",4384
"Vermont",330551,"Vermont",NA,3293,2538,254764.177953234,1265,1273,126980.569389614,127783.60856362,46886,132076,"Service","Male",9680
"Virginia",1225163,"Virginia",NA,18678,12885,845177.495181497,6696,6189,439216.803083842,405960.692097655,109153,374352,"Service","Male",45407
"Washington",23955,"Washington Territory",TRUE,231,165,17110.7142857143,57,108,5910.97402597403,11199.7402597403,1890,11402,"Service","Male",2000
"West Virginia",442014,"West Virginia",NA,4703,3175,298404.093132043,1619,1556,152162.591112056,146241.502019987,46434,150988,"Service","Male",9636
"Wisconsin",1054670,"Wisconsin",NA,10444,7126,719607.278820375,3424,3702,345766.955189583,373840.323630793,150942,402468,"Service","Male",37898
"Wyoming",9118,"Wyoming Territory",TRUE,66,63,8703.54545454545,5,58,690.757575757576,8012.78787878788,485,6524,"Service","Male",2898
"Alabama",996992,"Alabama",NA,15133,10260,675949.112535518,5272,4988,347329.797396418,328619.3151391,128157,314240,"Service","Female",22676
"Arizona",9658,"Arizona Territory",TRUE,92,69,7243.5,18,51,1889.60869565217,5353.89130434783,366,5813,"Service","Female",136
"Arkansas",484471,"Arkansas",NA,6219,4186,326096.736774401,2061,2125,160555.512301013,165541.224473388,45300,153221,"Service","Female",6859
"California",560247,"California",NA,5531,4183,423705.152956066,1405,2778,142315.500813596,281389.65214247,58041,271610,"Service","Female",10962
"Colorado",39864,"Colorado Territory",TRUE,380,284,29793.0947368421,104,180,10910.1473684211,18882.9473684211,1664,18535,"Service","Female",380
"Connecticut",537454,"Connecticut",NA,5406,4156,413181.432482427,2146,2010,213351.143914169,199830.288568257,82317,210736,"Service","Female",17554
"Dakota",14181,"Dakota Territory",TRUE,151,115,10800.0993377483,40,75,3756.55629139073,7043.54304635762,682,6333,"Service","Female",142
"Delaware",125015,"Delaware",NA,1700,1217,89496.0323529412,606,611,44564.1705882353,44931.8617647059,15447,44831,"Service","Female",4774
"District of Columbia",131700,"District of Columbia",NA,1956,1445,97293.7116564417,766,679,51575.7668711657,45717.9447852761,23778,45204,"Service","Female",11918
"Florida",187748,"Florida",NA,3042,2008,123930.96120973,989,1019,61039.701512163,62891.2596975674,16168,57313,"Service","Female",4005
"Georgia",1184109,"Georgia",NA,18027,12032,790325.594275254,6301,5731,413883.109169579,376442.485105675,154292,367879,"Service","Female",36648
"Idaho",14999,"Idaho Territory",TRUE,157,146,13948.1146496815,27,119,2579.44585987261,11368.6687898089,347,10998,"Service","Female",113
"Illinois",2539891,"Illinois",NA,26547,18135,1735070.75319245,8682,9453,830652.56571364,904418.187478811,326251,963985,"Service","Female",52594
"Indiana",1680637,"Indiana",NA,17455,11929,1148571.68564881,5894,6035,567497.821712976,581073.863935835,218356,636242,"Service","Female",26552
"Iowa",1194020,"Iowa",NA,11693,7929,809662.582741811,3756,4173,383540.504575387,426122.078166424,168862,481765,"Service","Female",19953
"Kansas",364399,"Kansas",NA,3964,2723,250317.47653885,1143,1580,105072.668264379,145244.80827447,36848,149922,"Service","Female",5450
"Kentucky",1321011,"Kentucky",NA,16884,11483,898434.57196162,5740,5743,449099.925373134,449334.646588486,136753,459045,"Service","Female",42050
"Louisiana",726915,"Louisiana",NA,11564,7973,501184.131355932,4013,3960,252257.860169492,248926.271186441,83534,224177,"Service","Female",28464
"Maine",626915,"Maine",NA,5919,4599,487106.282311201,2313,2286,244983.003041054,242123.279270147,102832,260523,"Service","Female",15409
"Maryland",780894,"Maryland",NA,10201,7247,554763.142633075,3718,3529,284615.61533183,270147.527301245,94811,269167,"Service","Female",35948
"Massachusetts",1457351,"Massachusetts",NA,14782,11464,1130230.81206873,6015,5449,593016.253889866,537214.558178866,270963,596263,"Service","Female",55374
"Michigan",1184059,"Michigan",NA,11756,8369,842921.892735624,3994,4375,402273.872575706,440648.020159918,183915,484093,"Service","Female",51974
"Minnesota",439706,"Minnesota",NA,4652,3074,290553.7927773,1406,1668,132894.805674979,157658.987102322,57428,171990,"Service","Female",9410
"Mississippi",827922,"Mississippi",NA,13107,8645,546073.524834058,4369,4276,275974,270099.524834058,105735,252256,"Service","Female",20092
"Missouri",1721295,"Missouri",NA,19084,12820,1156309.04946552,6158,6662,555425.204883672,600883.844581849,192702,637194,"Service","Female",31824
"Montana",20595,"Montana Territory",TRUE,168,155,19001.3392857143,20,135,2451.78571428571,16549.5535714286,591,14376,"Service","Female",159
"Nebraska",122993,"Nebraska",NA,1153,796,84911.039028621,331,465,35308.4848222029,49602.554206418,10375,51410,"Service","Female",1664
"Nevada",42491,"Nevada",NA,438,367,35603.1894977169,69,298,6693.78767123288,28909.401826484,1878,27925,"Service","Female",279
"New Hampshire",318300,"New Hampshire",NA,3284,2583,250355.937880633,1340,1243,129878.806333739,120477.131546894,55581,130411,"Service","Female",9707
"New Jersey",906096,"New Jersey",NA,9493,6904,658978.909090909,3531,3373,337029.914252607,321948.994838302,121392,332729,"Service","Female",29105
"New Mexico",91874,"New Mexico Territory",TRUE,845,558,60669.4579881657,271,287,29464.9159763314,31204.5420118343,3863,27378,"Service","Female",1993
"New York",4382759,"New York",NA,43850,32832,3281522.0863854,16901,15931,1689236.25676169,1592285.82962372,670218,1667545,"Service","Female",171770
"North Carolina",1071361,"North Carolina",NA,15275,10391,728806.032798691,5419,4972,380078.904026187,348727.128772504,90299,326287,"Service","Female",28217
"Ohio",2665260,"Ohio",NA,27034,19040,1877138.0631797,9594,9446,945864.631205149,931273.431974551,394680,1091833,"Service","Female",64290
"Oregon",90923,"Oregon",NA,942,611,58974.4723991507,229,382,22103.3619957537,36871.110403397,9166,39562,"Service","Female",568
"Pennsylvania",3521951,"Pennsylvania",NA,35533,25348,2512436.71933133,12787,12561,1267418.66538148,1245018.05394985,485637,1259906,"Service","Female",90326
"Rhode Island",217353,"Rhode Island",NA,2130,1683,171739.483098592,885,798,90308.6408450704,81430.8422535211,38673,84811,"Service","Female",7330
"South Carolina",705606,"South Carolina",NA,11584,7804,475358.185773481,4102,3702,249861.51691989,225496.668853591,101441,203425,"Service","Female",18857
"Tennessee",1258520,"Tennessee",NA,16834,11338,847635.722941666,5876,5462,439293.306403707,408342.416537959,102645,386047,"Service","Female",24319
"Texas",818579,"Texas",NA,11123,7325,539071.399352693,3543,3782,260741.292546975,278330.106805718,60153,242172,"Service","Female",13714
"Utah",86786,"Utah Territory",TRUE,874,563,55904.4828375286,259,304,25718.0480549199,30186.4347826087,8078,28064,"Service","Female",933
"Vermont",330551,"Vermont",NA,3293,2538,254764.177953234,1265,1273,126980.569389614,127783.60856362,46886,132076,"Service","Female",11352
"Virginia",1225163,"Virginia",NA,18678,12885,845177.495181497,6696,6189,439216.803083842,405960.692097655,109153,374352,"Service","Female",53114
"Washington",23955,"Washington Territory",TRUE,231,165,17110.7142857143,57,108,5910.97402597403,11199.7402597403,1890,11402,"Service","Female",207
"West Virginia",442014,"West Virginia",NA,4703,3175,298404.093132043,1619,1556,152162.591112056,146241.502019987,46434,150988,"Service","Female",7063
"Wisconsin",1054670,"Wisconsin",NA,10444,7126,719607.278820375,3424,3702,345766.955189583,373840.323630793,150942,402468,"Service","Female",20172
"Wyoming",9118,"Wyoming Territory",TRUE,66,63,8703.54545454545,5,58,690.757575757576,8012.78787878788,485,6524,"Service","Female",272
"Alabama",996992,"Alabama",NA,15133,10260,675949.112535518,5272,4988,347329.797396418,328619.3151391,128157,314240,"School","Male",38600
"Arizona",9658,"Arizona Territory",TRUE,92,69,7243.5,18,51,1889.60869565217,5353.89130434783,366,5813,"School","Male",79
"Arkansas",484471,"Arkansas",NA,6219,4186,326096.736774401,2061,2125,160555.512301013,165541.224473388,45300,153221,"School","Male",33068
"California",560247,"California",NA,5531,4183,423705.152956066,1405,2778,142315.500813596,281389.65214247,58041,271610,"School","Male",46742
"Colorado",39864,"Colorado Territory",TRUE,380,284,29793.0947368421,104,180,10910.1473684211,18882.9473684211,1664,18535,"School","Male",1388
"Connecticut",537454,"Connecticut",NA,5406,4156,413181.432482427,2146,2010,213351.143914169,199830.288568257,82317,210736,"School","Male",51276
"Dakota",14181,"Dakota Territory",TRUE,151,115,10800.0993377483,40,75,3756.55629139073,7043.54304635762,682,6333,"School","Male",606
"Delaware",125015,"Delaware",NA,1700,1217,89496.0323529412,606,611,44564.1705882353,44931.8617647059,15447,44831,"School","Male",10525
"District of Columbia",131700,"District of Columbia",NA,1956,1445,97293.7116564417,766,679,51575.7668711657,45717.9447852761,23778,45204,"School","Male",10004
"Florida",187748,"Florida",NA,3042,2008,123930.96120973,989,1019,61039.701512163,62891.2596975674,16168,57313,"School","Male",6436
"Georgia",1184109,"Georgia",NA,18027,12032,790325.594275254,6301,5731,413883.109169579,376442.485105675,154292,367879,"School","Male",38694
"Idaho",14999,"Idaho Territory",TRUE,157,146,13948.1146496815,27,119,2579.44585987261,11368.6687898089,347,10998,"School","Male",244
"Illinois",2539891,"Illinois",NA,26547,18135,1735070.75319245,8682,9453,830652.56571364,904418.187478811,326251,963985,"School","Male",285253
"Indiana",1680637,"Indiana",NA,17455,11929,1148571.68564881,5894,6035,567497.821712976,581073.863935835,218356,636242,"School","Male",207983
"Iowa",1194020,"Iowa",NA,11693,7929,809662.582741811,3756,4173,383540.504575387,426122.078166424,168862,481765,"School","Male",160615
"Kansas",364399,"Kansas",NA,3964,2723,250317.47653885,1143,1580,105072.668264379,145244.80827447,36848,149922,"School","Male",32579
"Kentucky",1321011,"Kentucky",NA,16884,11483,898434.57196162,5740,5743,449099.925373134,449334.646588486,136753,459045,"School","Male",94745
"Louisiana",726915,"Louisiana",NA,11564,7973,501184.131355932,4013,3960,252257.860169492,248926.271186441,83534,224177,"School","Male",26009
"Maine",626915,"Maine",NA,5919,4599,487106.282311201,2313,2286,244983.003041054,242123.279270147,102832,260523,"School","Male",80739
"Maryland",780894,"Maryland",NA,10201,7247,554763.142633075,3718,3529,284615.61533183,270147.527301245,94811,269167,"School","Male",55476
"Massachusetts",1457351,"Massachusetts",NA,14782,11464,1130230.81206873,6015,5449,593016.253889866,537214.558178866,270963,596263,"School","Male",144720
"Michigan",1184059,"Michigan",NA,11756,8369,842921.892735624,3994,4375,402273.872575706,440648.020159918,183915,484093,"School","Male",137376
"Minnesota",439706,"Minnesota",NA,4652,3074,290553.7927773,1406,1668,132894.805674979,157658.987102322,57428,171990,"School","Male",50193
"Mississippi",827922,"Mississippi",NA,13107,8645,546073.524834058,4369,4276,275974,270099.524834058,105735,252256,"School","Male",19907
"Missouri",1721295,"Missouri",NA,19084,12820,1156309.04946552,6158,6662,555425.204883672,600883.844581849,192702,637194,"School","Male",170349
"Montana",20595,"Montana Territory",TRUE,168,155,19001.3392857143,20,135,2451.78571428571,16549.5535714286,591,14376,"School","Male",499
"Nebraska",122993,"Nebraska",NA,1153,796,84911.039028621,331,465,35308.4848222029,49602.554206418,10375,51410,"School","Male",9467
"Nevada",42491,"Nevada",NA,438,367,35603.1894977169,69,298,6693.78767123288,28909.401826484,1878,27925,"School","Male",1457
"New Hampshire",318300,"New Hampshire",NA,3284,2583,250355.937880633,1340,1243,129878.806333739,120477.131546894,55581,130411,"School","Male",34378
"New Jersey",906096,"New Jersey",NA,9493,6904,658978.909090909,3531,3373,337029.914252607,321948.994838302,121392,332729,"School","Male",81104
"New Mexico",91874,"New Mexico Territory",TRUE,845,558,60669.4579881657,271,287,29464.9159763314,31204.5420118343,3863,27378,"School","Male",1097
"New York",4382759,"New York",NA,43850,32832,3281522.0863854,16901,15931,1689236.25676169,1592285.82962372,670218,1667545,"School","Male",433566
"North Carolina",1071361,"North Carolina",NA,15275,10391,728806.032798691,5419,4972,380078.904026187,348727.128772504,90299,326287,"School","Male",33848
"Ohio",2665260,"Ohio",NA,27034,19040,1877138.0631797,9594,9446,945864.631205149,931273.431974551,394680,1091833,"School","Male",334464
"Oregon",90923,"Oregon",NA,942,611,58974.4723991507,229,382,22103.3619957537,36871.110403397,9166,39562,"School","Male",9594
"Pennsylvania",3521951,"Pennsylvania",NA,35533,25348,2512436.71933133,12787,12561,1267418.66538148,1245018.05394985,485637,1259906,"School","Male",373697
"Rhode Island",217353,"Rhode Island",NA,2130,1683,171739.483098592,885,798,90308.6408450704,81430.8422535211,38673,84811,"School","Male",17952
"South Carolina",705606,"South Carolina",NA,11584,7804,475358.185773481,4102,3702,249861.51691989,225496.668853591,101441,203425,"School","Male",21070
"Tennessee",1258520,"Tennessee",NA,16834,11338,847635.722941666,5876,5462,439293.306403707,408342.416537959,102645,386047,"School","Male",63462
"Texas",818579,"Texas",NA,11123,7325,539071.399352693,3543,3782,260741.292546975,278330.106805718,60153,242172,"School","Male",33643
"Utah",86786,"Utah Territory",TRUE,874,563,55904.4828375286,259,304,25718.0480549199,30186.4347826087,8078,28064,"School","Male",7622
"Vermont",330551,"Vermont",NA,3293,2538,254764.177953234,1265,1273,126980.569389614,127783.60856362,46886,132076,"School","Male",36813
"Virginia",1225163,"Virginia",NA,18678,12885,845177.495181497,6696,6189,439216.803083842,405960.692097655,109153,374352,"School","Male",36888
"Washington",23955,"Washington Territory",TRUE,231,165,17110.7142857143,57,108,5910.97402597403,11199.7402597403,1890,11402,"School","Male",1878
"West Virginia",442014,"West Virginia",NA,4703,3175,298404.093132043,1619,1556,152162.591112056,146241.502019987,46434,150988,"School","Male",43912
"Wisconsin",1054670,"Wisconsin",NA,10444,7126,719607.278820375,3424,3702,345766.955189583,373840.323630793,150942,402468,"School","Male",135195
"Wyoming",9118,"Wyoming Territory",TRUE,66,63,8703.54545454545,5,58,690.757575757576,8012.78787878788,485,6524,"School","Male",179
"Alabama",996992,"Alabama",NA,15133,10260,675949.112535518,5272,4988,347329.797396418,328619.3151391,128157,314240,"School","Female",38539
"Arizona",9658,"Arizona Territory",TRUE,92,69,7243.5,18,51,1889.60869565217,5353.89130434783,366,5813,"School","Female",70
"Arkansas",484471,"Arkansas",NA,6219,4186,326096.736774401,2061,2125,160555.512301013,165541.224473388,45300,153221,"School","Female",29504
"California",560247,"California",NA,5531,4183,423705.152956066,1405,2778,142315.500813596,281389.65214247,58041,271610,"School","Female",44261
