State/Territory,Top Width,Right Side Width,Averages,Square Size in Pixel,
Alabama,43,41,42,553x550,
Arkansas,36,28,32,552x550,
California,96,93,94.5,553x553,
Connecticut,33,32,32.5,556x554,
Delaware,11,7,9,550x554,
Florida ,60,61,60.5,550x557,
Georgia,9,7,8,554x557,
Illinois,60,56,58,556x558,
Indiana,24,28,26,556x558,
Iowa,81,80,80.5,556x560,
Kansas,100,100,100,546x555,
Kentucky,12,11,11.5,555x558,
Losisiana,104,98,101,551x556,
Maine,35,35,35,554x556,
Maryland,26,24,25,556x558,
Massachusetts,39,37,38,557x556,
Michigan,78,77,77.5,550x554,
Minnesota,115,125,120,553x553,
Mississippi,24,29,26.5,554x555,
Missouri,63,70,66.5,552x555,
Nebraska,109,116,112.5,558x558,
Nevada,143,147,145,553x558,
New Hampshire,,,,,
New Jersey,,,,,
New York,,,,,
North Carolina,,,,,
Ohio,,,,,
Oregon,,,,,
Pennsylvania,,,,,
Rhode Island,,,,,
South Carolina,,,,,
Tennessee,,,,,
Texas,,,,,
Vermont,,,,,
Virgina,,,,,
West Virginia,,,,,
Wisconsin,,,,,
District of Columbia,,,,,
NW Territories,,,,,
SW Territories,,,,,